arabic,english
ﻋَﻮْذٌ,"to take refuge, to take protection"
أَﻋُﻮْذُ,"I take refuge, I take protection"
بِ,"of, with, by, in"
ﻣِﻦْ,"from,of, some of, since, then"
رَﺟِﻴْﻢٌ,"stoned, cursed, damned"
اِﺳْﻢٌ,"name, noun"
اَﻟﺮﱠﺣْﻤَﻦُ,"Beneficent, Compassionate"
اَﻟﺮﱠﺣِﻴْﻢٌ,"merciful, Compassionate"
اَﻟْْﺤَﻤْﺪُ,"the praise, thanks, commend, admire"
اَﻟﺪﱢﻳْﻦ,"judgment, religion, faith, creed"
إِﻳﱠﺎكَ,Thee alone
ﻧَﻌْﺒُﺪُ,we worship
ﻧَﺴْﺘَﻌِﻴْﻦُ,"we ask for help, assistance, support"
اِﺳْﺘَﻌَﺎنَ,"to ask for help, succor, support"
ﺻِﺮاطَ,"path, way course"
ﻣُﺴْﺘَﻘِﻴْﻢٌ,"straight, upright, erect, correct, righteous honest"
اَﻟﱠﺬِﻳْﻦَ,"those, who"
أَﻧْﻌَﻤْﺖَ,"you have favored, you bestowed grace"
ﻋَﻠَﻴْﻬِﻢْ,"unto them, upon them"
ﻏَﻴْﺮ,other than
ﻣَﻐْﻀُﻮْبٌ,those who earned wrath
اَﻟﻀﱠﺂﻟﱢﻴْﻦَ,"who go astray, who lose the"
ذاﻟِﻚَ,"this, that"
ﻟَﺎرَﻳْﺐَ,"no doubt, no suspicion"
ﻓِﻴْﻪِ,"this, in, at, on, within"
ﻣُﺘﱠﻘِﻴْﻦَ,"those who ward off evil, pious,"
ﻳُﺆْﻣِﻨُﻮْنَ,they believe
ﻏَﻴْﺐُ,"unseen, secret, invisible"
ﻳُﻘﻴْﻤُﻮْنَ,"they establish, they are steadfast"
اﻟﺼّﱠﻠَﺎةُ,prayer
رَزَﻗْﻨَﺎ,"we have provided, bestowed, blessed, endowed"
ﻳُﻨْﻔِﻘُﻮْنَ,they spend / distribute
أُﻧْﺰِلَ,"revealed, sent down"
إِﻟَﻴْﻚَ,unto thee
ﻗَﺒْﻠِﻚَ,before thee
ءاﺧِﺮَةٌ,"life after death, hereafter, life to"
ﻳُﻮْﻗِﻨُﻮْنَ,"they are certain of, sure, affirm"
اُوْﻵﺋِﻚَ,those / (these) people
ﻋَﻠﻰ,"on, upon, above"
هُﺪًى,guidance
ﻣُﻔْﻠِﺤُﻮْنَ,successful
آَﻔَﺮُوْا,"they disbelieved, they rejected"
ﺳَﻮَﺁءٌ,"equal, all the same"
أَﻧْﺬَرْتَ,you warned / frightened
ﺧَﺘَﻢَ,"sealed, closed, concluded"
ﻗُﻠُﻮْبٌ,hearts
ﺳَﻤْﻌِﻬِﻢْ,their ears / hearing
أَﺑْﺼَﺎرٌ,"eye-sight, eyes"
ﻏِﺸَﺎوَةٌ,"covering, dimness"
وَﻟَﻬُﻢْ,and for them
ﻋَﺬَابٌ,"punishment, torment"
ﻋَﻈِﻴْﻢٌ,Great
اَﻟﻨﱠﺎسُ,the men / mankind / people
ﻳَﻘُﻮْلُ,he says / speaks / tells
ءَاﻣَﻨﱠﺎ,"we believe, we have faith"
ﻣَﺎﻟَﻬُﻢْ,they are not
أَﻧْﻔُﺴَﻬُﻢْ,their person / soul
ﻣَﺮَضٌ,"disease, illness, sickness"
آَﺎﻧُﻮْا,they were
ﻳﻜْﺬِﺑُﻮْنَ,they tell a lie
ﻗِﻴْﻞَis,said / told
ﻟَﺎﺗُﻔْﺴِﺪُوْا,"make not mischief, act not wickedly"
ﻗَﺎﻟُﻮْا,they said
إﻧﱠﻤَﺎ,"infact, verilyonly,"
ﻧَﺤْﻦُ,we
ﻣُﻔْﺴِﺪُوْنَ,"mischievous, persons, disturbance creators"
ﻻآِﻦْ,but
ءَاﻣِﻨُﻮْا,"believe, become faithful"
ﺳُﻔَﻬﺂءُ,foolish/insolent/stupid persons
ﻟَﻘُﻮْا,they met
ءَاﻣَﻨﱠﺎ,we believed / became faithful
ﺧَﻠَﻮْا,"they went in loneliness, secluded in"
ﺷَﻴَﺎﻃِﻴْﻦ,"devils, devil type behavior"
ﻃُﻐْﻴَﺎنْ,"contumacy, wickedness"
