#,Word,Meaning
1,‫عَوٌْذ‬,"to take refuge, to take protection"
2,‫أَعُوْذُ‬,"I take refuge, I take protection"
3,‫بِ‬,"of, with, by, in"
4,‫مِنْ‬,"from, of, some of, since, then"
5,‫رَجِيْمٌ‬,"stoned, cursed, damned"
6,‫اِسْمٌ‬,"name, noun"
7,‫اَ َّ لرحْمَنُ‬‏,"Beneficent, Compassionate"
8,‫اَل َّ رحِيْمٌ‬,"merciful, Compassionate"
9,‫اَلْحَمُْد‬,"the praise, thanks, commend, admire"
10,‫لِ‬,"for, because of, due to, for the sake of"
11,‫رَبِّ  الْعَالَمِيْنَ‬,"Sustainer of the worlds, Lord of the worlds/creatures"
12,‫مَالِكِ‬,"owner, king, master"
13,‫يَوْمَ‬,day
14,‫اَلِّ ديْن‬,"judgment, religion, faith, creed"
15,‫إَِّ ياكَ‬,Thee alone
16,‫نَعْبُدُ‬,we worship
17,‫َو‬,and
18,‫نَسْتَعِيْنُ‬,"we ask for help, assistance, support"
19,‫اِسْتَعَانَ‬,"to ask for help, succor, support"
20,‫اِهْدِ‬,"guide, direct, lead on right course or way, show the way, make aware"
21,‫نَا‬,"us, our, ours"
22,‫صِراطَ‬,"path, way course"
23,‫مُسْتَقِيْمٌ‬,"straight, upright, erect, correct, righteous honest"
24,‫اََّ لذِيْنَ‬,"those, who"
25,‫أَنْعَمْتَ‬,"you have favored, you bestowed grace"
26,‫عَلَيْهِمْ‬,"unto them, upon them"
27,‫غَيْر‬,other than
28,مَغْضُوْبٌ,those who earned wrath
29,‫لَا‬,"not, no, do not, don't"
30,‫اَل َّ ضآِّ ليَْن‬‏,"who go astray, who lose the way"
32,‫ذالِكَ‬,"this, that"
33,‫لَارَيْبَ‬,"no doubt, no suspicion"
34,‫فِيْهِ‬,"in this, in, at, on, within"
35,‫مَُّ تقِيَْن‬,"those who ward off evil, pious, God-fearing"
36,‫يُؤْمِنُوْنَ‬,they believe
37,‫غَيْبُ‬,"unseen, secret, invisible"
38,‫َو‬,"and, and also"
39,‫يُقيْمُوْنَ‬,"they establish, they are steadfast"
40,‫ال َّ ّصلَاةُ‬‏,prayer
41,‫مِ َّ ما‬,"of that, from that"
42,‫رَزَقْنَا‬,"we have provided, bestowed, blessed, endowed with livelihood"
43,‫نَا‬,"we, us, our"
44,‫هُمْ‬,"them, they, their"
45,‫يُنْفِقُوْنَ‬,they spend / distribute
46,‫بِمَا‬,"which, with"
47,‫أُنْزِلَ‬,"revealed, sent down"
48,‫إِلَيْكَ‬,unto thee
49,‫مَا‬,"which, whatever"
50,‫قَبْلِكَ‬,before thee
51,‫ءاخِرَةٌ‬,"life after death, hereafter, life to come"
52,‫يُوْقِنُوْنَ‬,"they are certain of, sure, affirm"
53,‫اُوْلآئِكَ‬,those / (these) people
54,‫عَلى‬,"on, upon, above"
55,‫هُدًى‬,guidance
56,‫مُفْلِحُوْنَ‬,successful
57,‫إِنَّ ‬,"certainly, undoubtedly, doubtless"
58,‫آَفَرُوْا‬,"they disbelieved, they rejected"
59,‫سَوَآءٌ‬,"equal, all the same"
60,‫ءَ‬,whether (sign of interrogation)
61,‫أَنْذَرْتَ‬,you warned / frightened
62,‫أَمْ‬,or
63,‫لَمْ‬,not
64,‫لَا يُؤْمِنُوْنَ‬,they do / will not believe
65,‫خَتَمَ‬,"sealed, closed, concluded"
66,‫قُلُوْ‬ب‬,hearts
67,‫سَمْعِهِمْ‬,their ears / hearing
68,‫أَبْصَارٌ‬,"eye-sight, eyes"
69,‫غِشَاوَةٌ‬,"covering, dimness"
70,‫وَلَهُمْ‬,and for them
71,‫عَذَابٌ‬,"punishment, torment"
72,‫عَظِيْمٌ‬,Great
73,‫اَلَّ ناسُ‬,the men / mankind / people
74,‫مَنْ‬,who
75,‫يَقُوْلُ‬,he says / speaks / tells
76,‫ءَامََّ نا‬,"we believe, we have faith"
77,‫مَالَهُمْ‬,they are not
78,‫يُخَادِعُوْنَ‬,"they beguile, they deceive"
79,‫إَِّ لا‬,"but, except"
80,‫أَنْفُسَهُمْ‬,their person / soul
81,‫مايَشْعُرُوْنَ‬,they don't perceive / realize
82,‫مَرَضٌ‬,"disease, illness, sickness"
83,‫فَ‬,"therefore, then"
84,‫زَادَ‬,increased
85,‫أَلِيْمٌ‬,painful
86,‫بِمَا‬,because
87,‫آَانُوْا‬,they were
88,‫يكْذِبُوْنَ‬,they tell a lie
89,‫إذَا‬,"when, whenever"
90,‫قِيْلَ‬,is said / told
91,‫لَهُمْ‬,unto them
92,‫لَاتُفْسِدُوْا‬,"make not mischief, act not wickedly / corruptly"
93,‫فِي الْأَرْ ِض‬‏,on the earth
94,‫قَالُوْا‬,they said
95,‫إنَّ َما‬,"only, infact, verily"
96,‫نَحْنُ‬,we
97,‫ُمصْلِحُوَْن‬,"those who put things right, reformers"
98,‫أَلَا‬,"be aware, be careful, better understand"
99,‫مُفْسِدُوْنَ‬,"mischievous, persons, disturbance creators"
100,‫لاآِنْ‬,but
101,‫ءَامُِنوْا‬,"believe, become faithful"
102,‫آَمَا‬,"like, as, alike"
103,‫أَ‬,what (sign of interrogation)
104,‫سُفَهآُء‬,foolish/insolent/stupid persons
105,‫لَقُوْا‬,they met
106,‫ءَامََّ نا‬,we believed / became faithful
107,‫خَلَوْا‬,"they went in loneliness, secluded in privacy, they are alone"
108,‫شَيَاطِيْن‬,"devils, devil type behavior"
109,‫مُسْتَهْزِءُوْنَ‬,"those who scoff, sneer or laugh"
110,‫يَُ ُّمد‬,"grants leave, gives respite"
111,‫طُغْيَانْ‬,"contumacy, wickedness"
112,‫يَعْمَهُوَْن‬,they wander blindly in confusion
113,‫اِشْتَرَوْا‬,they purchased / bartered
114,‫ضَلَالٌَة‬,"deception, straying"
115,‫هُدى‬,"guidance, right way"
116,‫فَمَا‬,so (it did) not
117,‫رَبِحَتْ‬,"profited, benefited"
118,‫مَارَبِحَتْ‬,did not profit
119,‫تِجَارَةٌ‬,"commerce, trade, trafficking"
120,‫مُهْتَدِيَْن‬,rightly directed or guided persons
121,‫مَثَلٌ‬,example
122,‫كَ‬,"as, like"
123,‫اَّ لذِيْ‬,one who
124,‫اِسْتَوْقََد‬,"kindled, lighted"
125,‫نَارٌ‬,fire
126,‫فَلَ َّ ما‬,when
127,‫أَضَآءَتْ‬,lighted
128,‫حَوْلَهُ‬,"around him, his surroundings"
129,‫ذَهَبَ‬,"took away, carried off"
130,‫تَرَكَ‬,"left, abandoned"
131,‫فِىْ‬,"in, in between"
132,‫ظُلُمَاتٌ‬,"darkness, gloom"
133,‫لَا يُبْصِرُوْنَ‬,they do not see
134,‫صُمٌّ ‬,deaf
135,‫بُكْمٌ‬,dumb
136,‫عُمْىٌ‬,blind
137,‫فَهُمْ‬,therefore they
138,‫لَايَرْجِعُوْنَ‬,they do / will not return
139,‫أَوْ‬,or
140,‫كَ‬,like
141,‫صَِّ يبٌ‬,"rain-laden cloud, rainy storm"
142,‫سَمَآءُ‬,sky
143,‫رَعْدٌ‬,thunder
144,‫بَرْقٌ‬,lightening
145,‫يَجْعَلُوْنَ‬,they thrust/put/place
146,‫أَصَابِعْ‬,fingers
147,‫ااذَاٌن‬,ears
148,‫صَوَاعِقُ‬,thunderclaps
149,‫حَذَرٌ‬,"fear, danger"
150,‫مَوْتٌ‬,death
151,‫مُحِيْطٌ‬,"one who surrounds, encompasses"
152,‫يَكَادُ‬,"almost, nearly"
153,‫يَخْطَفُ‬,snatches / takes away
154,‫آَُّ لمَا‬,"as often, whenever"
155,‫مَشَوْا‬,they walked
156,‫إذَا‬,when
